frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
255,8.5,2082,1343,858,885,696,1601
256,8.533333333333333,2082,1347,858,876,698,1601
257,8.566666666666666,2082,1352,858,869,698,1601
258,8.6,2082,1358,858,863,700,1601
259,8.633333333333333,2082,1364,858,858,702,1601
260,8.666666666666666,2082,1371,858,853,702,1601
261,8.7,2082,1381,858,850,703,1601
262,8.733333333333333,2082,1391,860,850,705,1601
263,8.766666666666667,2082,1401,867,843,708,1601
264,8.8,2082,1407,883,826,709,1601
265,8.833333333333334,2082,1411,906,806,709,1601
266,8.866666666666667,2083,1414,936,788,710,1601
267,8.9,2084,1414,968,764,713,1601
268,8.933333333333334,2085,1429,975,763,728,1601
269,8.966666666666667,2087,1447,979,763,735,1601
270,9.0,2088,1462,986,763,742,1601
271,9.033333333333333,2088,1477,994,762,750,1601
272,9.066666666666666,2088,1492,1000,762,756,1601
273,9.1,2088,1504,1006,762,762,1601
274,9.133333333333333,2088,1517,1010,762,766,1601
275,9.166666666666666,2086,1532,1011,762,768,1601
276,9.2,2080,1549,1012,762,773,1601
277,9.233333333333333,2074,1567,1012,761,777,1601
278,9.266666666666667,2066,1584,1017,761,779,1601
279,9.3,2059,1599,1024,761,785,1601
280,9.333333333333334,2053,1613,1042,761,795,1601
281,9.366666666666667,2047,1622,1066,761,810,1601
282,9.4,2041,1628,1097,761,826,1601
283,9.433333333333334,2037,1632,1129,761,837,1601
284,9.466666666666667,2032,1635,1165,761,848,1601
285,9.5,2029,1637,1199,761,859,1601
286,9.533333333333333,2028,1640,1231,761,868,1601
287,9.566666666666666,2028,1640,1265,761,875,1601
288,9.6,2028,1639,1294,761,880,1601
289,9.633333333333333,2029,1637,1323,762,882,1601
290,9.666666666666666,2031,1632,1353,762,884,1601
291,9.7,2036,1628,1379,762,884,1601
292,9.733333333333333,2040,1626,1408,762,884,1601
293,9.766666666666667,2041,1618,1444,762,881,1601
294,9.8,2041,1605,1489,762,878,1601
295,9.833333333333334,2043,1589,1542,762,875,1601
296,9.866666666666667,2045,1572,1601,762,871,1601
297,9.9,2045,1553,1662,764,869,1601
298,9.933333333333334,2046,1536,1717,767,868,1601
299,9.966666666666667,2048,1523,1767,768,864,1601
300,10.0,2050,1511,1811,769,860,1601
301,10.033333333333333,2050,1497,1853,772,857,1601
302,10.066666666666666,2050,1480,1900,773,854,1601
303,10.1,2050,1459,1953,773,849,1601
304,10.133333333333333,2049,1437,2007,773,844,1601
305,10.166666666666666,2048,1415,2054,774,843,1601
306,10.2,2047,1392,2100,778,843,1601
307,10.233333333333333,2047,1368,2142,783,842,1601
308,10.266666666666667,2045,1343,2176,789,841,1601
309,10.3,2045,1319,2210,794,839,1601
310,10.333333333333334,2045,1294,2242,799,837,1601
311,10.366666666666667,2044,1265,2273,809,837,1601
312,10.4,2044,1236,2303,821,837,1601
313,10.433333333333334,2044,1208,2332,832,837,1601
314,10.466666666666667,2043,1179,2357,848,837,1601
315,10.5,2041,1154,2378,860,837,1601
316,10.533333333333333,2038,1131,2396,873,837,1601
317,10.566666666666666,2036,1112,2413,884,837,1601
318,10.6,2034,1093,2431,896,837,1601
319,10.633333333333333,2034,1075,2447,908,838,1601
320,10.666666666666666,2033,1055,2463,924,842,1601
321,10.7,2032,1032,2482,941,849,1601
322,10.733333333333333,2032,1013,2495,957,857,1601
323,10.766666666666667,2032,994,2503,975,864,1601
324,10.8,2032,977,2509,989,874,1601
325,10.833333333333334,2032,965,2512,1003,881,1601
326,10.866666666666667,2032,955,2514,1013,890,1601
327,10.9,2032,945,2517,1024,896,1601
328,10.933333333333334,2032,932,2525,1035,902,1601
329,10.966666666666667,2033,916,2536,1048,912,1601
330,11.0,2033,898,2554,1062,922,1601
331,11.033333333333333,2033,882,2571,1073,928,1601
332,11.066666666666666,2033,867,2589,1080,933,1601
333,11.1,2034,857,2603,1084,937,1601
334,11.133333333333333,2035,857,2611,1079,938,1601
335,11.166666666666666,2039,857,2616,1077,938,1601
336,11.2,2043,857,2616,1077,937,1601
337,11.233333333333333,2048,857,2618,1077,935,1601
338,11.266666666666667,2052,857,2621,1080,934,1601
339,11.3,2055,857,2622,1083,932,1601
340,11.333333333333334,2066,857,2622,1085,927,1601
341,11.366666666666667,2074,857,2626,1088,923,1601
342,11.4,2079,857,2632,1089,922,1601
343,11.433333333333334,2085,857,2646,1088,921,1601
344,11.466666666666667,2088,857,2664,1079,921,1601
345,11.5,2088,857,2685,1067,922,1601
346,11.533333333333333,2089,857,2709,1057,923,1601
347,11.566666666666666,2090,857,2735,1047,925,1601
